	param_model_config__colsample_bytree	param_model_config__gamma	param_model_config__learning_rate	param_model_config__min_child_weight	param_model_config__n_estimators	param_model_config__reg_alpha	param_model_config__reg_lambda	param_model_conifg__max_depth	param_selector_config__threshold	param_selector_estimator_config__alpha	param_selector_estimator_config__l1_ratio	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
45	0.726124428767614	2.919259572199572	0.1084775944378055	9.465016793279652	299	0.012018190991636672	0.02294580560872185	4	1.5*mean	0.6659077055009576	0.33021468430050394	-46.165096	-3111.3215	-25.86516	-93.64111	-36.807945	-662.76013	1369.0316	34
46	0.681701591421372	1.343683478067335	0.2626232032327072	6.129978824129727	355	0.01665484600332931	10.182377655959023	10	median	0.49616624787408614	0.07511577031092703	-43.76787	-3111.746	-25.631306	-93.83897	-36.83671	-662.36414	1369.4951	15
47	0.9282665338154124	0.6547316217987901	0.07792353357897099	9.90642067574918	383	0.025454860556986307	0.2716649786003897	3	median	0.6822676106560315	0.01304708575290828	-46.89442	-3111.4033	-26.49869	-92.99888	-33.747276	-662.30853	1369.3298	12
48	0.6296602454860917	2.8252393244054987	0.02330611639818455	9.376896367681478	233	0.2526577391351847	0.640891811647214	4	mean	0.29754855828527527	0.040381595729645586	-46.14822	-3111.5833	-25.759302	-93.26236	-38.206863	-662.992	1369.0426	43
49	0.9824717307455777	4.593228337395096	0.07297158637218946	9.40030934443583	338	0.2453505305131074	0.027080512152167228	10	median	0.2997568453317476	0.010388485076017232	-46.62807	-3111.579	-25.768478	-93.48895	-36.117943	-662.71655	1369.2007	31
50	0.9924717408498149	4.849452867700096	0.062076641250119434	6.563671319975121	310	0.5338165879735594	0.39605332529360354	7	mean	0.26563358498810485	0.025812337986489464	-46.7858	-3111.5498	-25.755732	-93.09114	-36.14068	-662.6646	1369.2101	29
51	0.8088448778890363	1.2231042619101522	0.011083757934578782	4.315671635332124	189	0.39407889197359014	1.184006167638286	2	1.5*median	0.6117888431707809	0.013347585984204175	-48.62192	-3111.6846	-25.70129	-93.06121	-39.545128	-663.7228	1368.6847	89
52	0.6715061598019934	4.5554240900510035	0.2186775442541025	1.7044053030864064	342	5.345142789296895	4.525554241842906	2	1.5*mean	0.37268302534424125	0.029087477010313792	-46.367268	-3111.8225	-25.607094	-93.529106	-42.190697	-663.9033	1368.6613	107
53	0.8228061748635703	4.679321702620837	0.1432482321530394	1.595961496661539	350	0.029871395329120424	4.552867118247191	3	1.5*median	0.3218972895772934	0.014983759165137873	-48.39268	-3111.8633	-25.732277	-92.88676	-41.401703	-664.0553	1368.5934	111
54	0.8635286247097848	2.0237672952915204	0.017321795066186023	5.476542681575977	302	0.028794046825772576	7.725003205162718	9	median	0.355102352150792	0.3942749392098274	-46.60778	-3111.479	-25.417498	-93.039314	-38.147903	-662.9383	1369.0139	42
