	param_regressor__regressor__activation	param_regressor__regressor__alpha	param_regressor__regressor__hidden_layer_sizes	param_regressor__regressor__learning_rate	param_regressor__regressor__learning_rate_init	param_regressor__regressor__momentum	param_regressor__regressor__power_t	param_regressor__selector__estimator__alpha	param_regressor__selector__threshold	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
42	relu	0.0015987083808695999	27	constant	0.003556027463898554	0.5880984481951044	0.43363910537511907	0.001805207630246979	mean	-6242.673477119244	-225.1681114050402	-2.5820665544199692	-179.10828457388513	-0.44655864782604193	-1329.995699660083	2458.020205727997	53
43	tanh	0.06390341375618908	54	constant	0.006108773295224686	0.7359363893685296	0.12732320603265773	0.09211105995447189	1.5*mean	-38.017496362569425	-226.46960969753619	-2.4685890986710852	-180.15393103573803	-0.34779843988883	-89.4914849268807	95.02824689287296	19
44	tanh	0.030257328829322416	15	constant	0.0022295779193863977	0.5745712661357528	0.3400126666882561	0.22912935391542155	1.5*median	-38.000927637973376	-226.2165410819142	-2.4678022263096504	-180.0910839393152	-0.6747485324223543	-89.49022068358695	94.88397105757541	18
45	relu	0.009381648460641146	47	invscaling	0.00016590365464253795	0.8774580911499401	0.7397439571057861	0.0024265866353784995	0.5*mean	-38.163086730200504	-225.7407486956805	-15.135614906561262	-180.1823498459453	-1.3689439697166488	-92.11814882962086	92.39391769340757	43
46	tanh	0.0007087863897619267	48	constant	0.006280612257679104	0.6328000199553868	0.527431693034737	0.012417709743036012	0.5*mean	-37.869016800461075	-226.4867252622787	-2.496826092611615	-180.00279979708023	-0.4911695192227468	-89.46930749433088	94.98841777681105	16
47	relu	0.07293920941668844	41	constant	0.0013704081015832343	0.6511421734271317	0.6604124621587132	0.0010150813360845121	1.5*mean	-752.8092620906292	-225.14303070883759	-2.5132796744532473	-179.53833677439243	-0.7069982353062843	-232.14218149672374	275.75425219163924	48
48	relu	0.07844025865616115	55	invscaling	0.005692779154087758	0.6872829663957118	0.7780677212746007	0.009402145818902065	0.5*median	-37.33945959103311	-226.2899960786586	-3.5290489568660885	-179.60585079659307	-2.4230737581738966	-89.83748583626495	94.36537010394198	41
49	tanh	0.0006662338334990561	56	invscaling	0.00035626161557963704	0.7024026240184497	0.7502125798081155	0.002775991282618702	median	-38.169111747591785	-226.41229478470754	-2.638797356891599	-180.22551654900792	-0.7492618062871704	-89.63899644889719	94.90249876536681	35
50	relu	0.0006267601628523651	67	adaptive	0.00869407301657783	0.6541070564305131	0.5986416277165281	0.12059373025972019	0.5*median	-7066.885001168161	-225.1256510009022	-2.175092247264176	-179.4480656349005	-0.6348463610753555	-1494.8537312824606	2787.5011580677383	55
51	relu	0.09327009135916771	27	constant	0.002690388729724324	0.6907234702399516	0.5986287059905151	0.004794229552021653	0.5*mean	-3740.2171317925286	-226.4186865959197	-2.591536589286957	-180.05425293844283	-0.6435770695783859	-829.9850369971512	1457.980827765091	50
52	tanh	0.004225601264275588	79	constant	0.0007488474182869851	0.9027934432794028	0.664938723350479	0.015852156029229705	1.5*median	-37.6884895000322	-226.29624174704352	-2.3658058677769933	-179.68018631928493	-0.5145782272413442	-89.30906033227579	94.91122290472178	4
53	relu	0.0013450618107884906	65	adaptive	0.00599857082794337	0.8859239930420146	0.25707188415610605	0.007335064648924391	mean	-45692.7410186854	-226.0151602328045	-2.5110190900099356	-179.18701844743364	-0.840060359251719	-9220.25885536298	18236.468478586045	59
54	tanh	0.025537484216314323	14	constant	0.0003651433652155961	0.5865636084533828	0.4414076068672417	0.02405212154640033	0.5*median	-38.061687921457725	-226.44107520120488	-2.4401096475687543	-180.0340336197074	-0.6513931354526173	-89.52565990507829	94.94068193140437	27
55	tanh	0.0002102681031678843	31	constant	0.006962387027987192	0.9118404805232936	0.7606417995100526	0.19264024464589638	1.5*median	-37.600273019035775	-226.30091517792374	-2.4913162322356435	-179.97225103824948	-0.5173991509160654	-89.37643092367213	94.954345051111	7
56	tanh	0.00013998374606039065	27	adaptive	0.00034867885870512334	0.64429958095977	0.421029968663574	0.23245846767792772	0.5*median	-38.05341339550754	-226.51028402473696	-2.5521826225116317	-179.93608318472033	-0.617602368635104	-89.53391311922232	94.92865968557349	29
57	relu	0.0011430879588145216	63	constant	0.006454416364557541	0.8700564057061868	0.1962764041651831	0.004130618980483722	1.5*median	-42956.37295085715	-226.52138389607273	-2.394875558956899	-179.78359890713193	-0.5392038076417897	-8673.12240260539	17141.86895379977	58
58	relu	0.0004469160697639161	32	invscaling	0.00028007704771363897	0.7587160234011487	0.7552172349843317	0.12655324844340265	mean	-38.03624859373765	-226.52034939206288	-2.4945592792924947	-180.25257841467845	-0.3841982071064445	-89.5375867773756	95.04808270092205	30
59	tanh	0.0004175556793778982	66	constant	0.0003185845691796932	0.6550965667079321	0.24280951057085373	0.13644209201678456	1.5*mean	-38.060671639638485	-226.4703120812973	-2.4851829139267463	-180.10157662587	-0.35272827034430754	-89.49409430621536	95.00982144587392	21
