	param_regressor__regressor__classifier__activation	param_regressor__regressor__classifier__alpha	param_regressor__regressor__classifier__hidden_layer_sizes	param_regressor__regressor__classifier__learning_rate	param_regressor__regressor__classifier__learning_rate_init	param_regressor__regressor__classifier__momentum	param_regressor__regressor__classifier__power_t	param_regressor__regressor__regressor__max_depth	param_regressor__regressor__regressor__max_features	param_regressor__regressor__regressor__min_samples_leaf	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
73	relu	0.0009026992289887299	84	invscaling	0.007861904458359204	0.8140717715588226	0.43845526545312996	19	0.35326723791034326	17	-2.2837225813162787	-2.4201528611791914	-5.271149145529647	-2.76922507124788	-3.0000068524886885	-3.1488513023523375	1.0908591112405404	30
74	tanh	0.08304669415339724	110	invscaling	0.0009628722797128837	0.7660906933766176	0.4673241333559526	3	0.8953983551342535	12	-3.112689857466404	-2.9520954256377974	-5.732152185822406	-3.428131119851495	-3.8131092151970014	-3.8076355607950205	1.0062520832311268	88
75	relu	0.000690931066895951	41	invscaling	0.001866206405626291	0.6016698211123133	0.681017995428332	20	0.18729349449360055	15	-3.466773597045044	-2.726047652919583	-5.505428204889855	-3.584176352372857	-3.5717449885893977	-3.770834159163347	0.9238317820047394	86
76	tanh	0.0006442328373779374	34	invscaling	0.00019273737819445157	0.6171399186760156	0.372779781009857	12	0.9639421086747151	15	-3.715130136064491	-2.8415587272974325	-5.666577613298059	-3.418442188055235	-3.966949607633832	-3.92173165446981	0.9496620567691444	94
77	tanh	0.0005506606731085639	30	invscaling	0.003019773048812604	0.824655678284644	0.532433204602188	20	0.18404228480760895	9	-3.347642081716664	-2.7917940229896145	-5.5757662102632635	-3.247913517744627	-3.2218807889403225	-3.6369993243308985	0.9879906696490924	78
78	relu	0.03687047748920649	92	constant	0.00018242476662422698	0.5707302165037897	0.3457852799693989	15	0.25703962525238305	4	-3.327401680257416	-3.1026344258541263	-5.381210716965568	-3.0479124065191066	-3.067155170069436	-3.5852628799331305	0.9035521442202279	75
79	relu	0.0005515476580420886	81	invscaling	0.0024762134439380453	0.5728226625035211	0.20681965121012852	6	0.11429813601570767	14	-2.4633646105213094	-2.7405902058514853	-5.528784753828325	-3.0296747003664097	-3.24598530971116	-3.4016799160557376	1.0958721548938555	64
80	tanh	0.007725666753701968	105	constant	0.00022103221868445132	0.9406233731832925	0.6816754164737924	20	0.26144221686376934	8	-2.5814521350093926	-2.5108570066151725	-5.436381801242336	-2.8790091240135234	-2.8667778162946944	-3.254895576635024	1.100720457886851	47
81	tanh	0.009270546381032769	103	adaptive	0.00015898652617717397	0.5154180025727311	0.5902253501553306	11	0.42694647588917606	16	-2.913663981247407	-3.521692882281476	-5.431766534351274	-3.649445883264968	-2.948476770836419	-3.6930092103963084	0.918284446030824	82
82	relu	0.0004358468681122169	23	invscaling	0.002901801940852934	0.8645717125536633	0.43039309450925034	12	0.7132830580975166	8	-2.452311223628508	-2.440278616216254	-5.394082265719729	-3.108529819909487	-3.069721272723179	-3.2929846396394318	1.0892493470843387	52
83	relu	0.00024871899494577875	94	adaptive	0.006698185545270135	0.6280946683974913	0.3371009829462882	7	0.14263220228344908	5	-2.298420895038918	-2.200354935748015	-5.276489026859944	-2.7162671080277065	-2.6183909705197097	-3.021984587238859	1.1434824837925437	5
84	tanh	0.0002696338197665829	41	adaptive	0.002183545132851171	0.571395952793855	0.5436086388948186	16	0.20020264604823193	15	-2.3573694363375655	-2.4721094383468527	-5.366466922430302	-2.9723341695503267	-2.9127681779860835	-3.216209628930226	1.1014944350406792	40
85	relu	0.05943070659224353	28	adaptive	0.004651301449268499	0.561859331571391	0.32537478037390555	9	0.7331024470488547	7	-2.187527587118722	-2.170673100327399	-5.276223739475467	-2.731624466241895	-2.776637012961604	-3.0285371812250177	1.1529903414949052	7
86	relu	0.001030625754606918	67	adaptive	0.005071972437476711	0.7003658454446149	0.5595645400087615	7	0.3328163697708439	3	-2.5631615554283926	-2.4709813157071907	-5.278520116238622	-2.725422540633422	-2.7738663387487317	-3.162390373351272	1.0636746271532456	35
87	relu	0.0017073554978119286	60	adaptive	0.0004414381735668642	0.8534102272284348	0.24112974633594764	10	0.8750952191376902	8	-2.3096290311565877	-2.31234274776411	-5.287744267039551	-2.7075856750724956	-2.787421945991348	-3.0809447334048183	1.1208205672350744	15
88	relu	0.01448607697212062	80	invscaling	0.0010989382034168442	0.7410519004854577	0.7322803565872698	13	0.21189430527577013	20	-3.544742548041164	-3.5276840704871613	-5.625216914126056	-3.3935216708650855	-3.4811703224559416	-3.9144671051950817	0.8569822075561723	93
89	tanh	0.01105925074775113	104	adaptive	0.0005788465889632766	0.8758722475654241	0.6698155704849358	12	0.2461818610804286	8	-2.2937441682179704	-2.6369592813232736	-5.4188837432869565	-2.7521322029099275	-2.8646175708712525	-3.1932673933218765	1.1291235403821214	38
90	tanh	0.008924501440232066	95	adaptive	0.004932604122085244	0.9102336490039	0.49873484267017343	13	0.2289074310904665	16	-2.1961556023608932	-2.262759010678908	-5.308359242766297	-2.814956012519584	-2.719061548282222	-3.060258283321581	1.1500630307098327	11
91	tanh	0.014324967293491643	55	constant	0.000962176117335507	0.8939750516181104	0.3224102159269162	6	0.1968444984890718	14	-2.4257996324186615	-2.4833154971753975	-5.3348432191546555	-2.8628451664402426	-2.8480134949209277	-3.190963402021977	1.0869901597676077	37
92	tanh	0.045229443050826476	109	adaptive	0.0024651052507187092	0.5624661894779406	0.45520049964222586	10	0.1954423732666108	16	-2.4227328250514795	-2.5124628408461342	-5.4364760589561385	-2.806231258404926	-2.926347819419346	-3.220850160535605	1.1230710093823912	42
93	relu	0.0012101602551805241	97	invscaling	0.0007399828712136583	0.8227083238530184	0.5258471050914847	9	0.7121959349598654	8	-3.256822795771351	-3.0735231919893686	-5.643935019968734	-3.1170730500357147	-3.793829664359345	-3.7770367444249033	0.9681629121314725	87
94	relu	0.04420078804547116	116	invscaling	0.0025134904444595635	0.5885622638336988	0.15814689879615035	16	0.23487551474258495	15	-2.6306323331603827	-2.6795499611930964	-5.4395179390544826	-2.72642299695798	-3.1904511952470274	-3.3333148851225944	1.0720065715087344	59
95	relu	0.007167381764853147	68	adaptive	0.0034515804270542896	0.9442612008636593	0.7545818492382271	14	0.3777251238602595	10	-2.133860732018569	-2.1973412828038708	-5.252238493812269	-2.686647687289071	-2.665892655718738	-2.9871961703285033	1.1555115040494217	1
96	relu	0.000655195893224586	32	invscaling	0.006634109750397979	0.500768545119015	0.6722391286935537	16	0.5036771943073963	20	-3.1956874616955524	-2.955079913568648	-5.375763293417155	-3.556759297752019	-3.5391148611632524	-3.724480965519325	0.8556664099214717	84
97	relu	0.0008604599581904744	58	adaptive	0.00041503618286899336	0.5526597672436694	0.15385863812160222	19	0.1659546189375597	15	-2.479950671579313	-2.6690571509717005	-5.363396270270819	-3.0744508377440387	-3.124977713690138	-3.342366528851202	1.0392982785914437	61
98	tanh	0.025409405821210176	118	invscaling	0.0002762697378894741	0.6956576487446141	0.6356448697958159	8	0.47040795585442263	9	-3.7379594354964243	-3.5985013900721396	-5.456169560229204	-3.637037407305648	-3.630026185369646	-4.011938795694613	0.7236305649088939	97
99	tanh	0.0015046392930921303	99	invscaling	0.0014299839990680229	0.9063809265926608	0.3380987212480775	9	0.18211971617375522	1	-2.913630644551864	-2.7868099027270574	-5.484682813308234	-3.3151362395579786	-3.022588631611012	-3.5045696463512295	1.0053284857747615	72
