	param_regressor__regressor__classifier__max_depth	param_regressor__regressor__classifier__max_features	param_regressor__regressor__classifier__min_samples_leaf	param_regressor__regressor__regressor__C	param_regressor__regressor__regressor__epsilon	param_regressor__regressor__regressor__gamma	param_regressor__regressor__regressor__kernel	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
42	19	0.3525575266895634	20	1.302072755178872	0.020494833628720566	0.0001500951577359908	rbf	-2.291496156431272	-2.3038753528488183	-5.287270026758501	-2.7533408636685555	-2.666023193915181	-3.060401118724465	1.128920825997413	19
43	19	0.3965164666841566	14	2.83120582546896	7.6178422551754865	0.007741576063203932	poly	-2.105687910288688	-2.6065401465318674	-5.301307267237512	-2.7149711985280547	-2.80956926468753	-3.10761515745473	1.1234073242048328	28
44	18	0.22639321164061638	7	5.663231474192114	0.02037861131737699	2.785755421670936	rbf	-2.4934849421945056	-2.4301111063003673	-5.298068973947584	-2.9868413147703996	-2.858025710241409	-3.2133064094908534	1.0635115036769864	51
45	7	0.2133288262689723	16	0.30918520586425446	7.475716181640171	0.010625226607883525	rbf	-2.15654787252771	-2.679063987478451	-5.314848108767934	-2.733794035964333	-2.935044106287722	-3.16385962220523	1.1057819121876753	41
46	15	0.7935527095486591	15	7.19295016645839	2.22002084130384	0.011701589284496704	rbf	-2.273524417320867	-2.4014806924632826	-5.31484810727872	-2.7431253476376583	-2.85077906990405	-3.1167515269209156	1.1193400530051836	30
47	19	0.19704812264667843	3	7.276279205743471	0.02709581246623966	0.454052837975858	rbf	-2.514485040669925	-2.430455965502791	-5.285573880966075	-2.9871600670575584	-2.858620677912766	-3.215259126421823	1.05569159013145	52
48	10	0.12376042815184772	17	0.3567402177205782	2.347895789871337	8.980929660399152	rbf	-2.274154241358858	-2.361029489342867	-5.328354539337909	-2.79185428509083	-2.834878667901675	-3.1180542446064274	1.1275882146673244	32
49	3	0.15732760281636457	17	0.26889065088923503	1.1279459549853714	4.905396367477529	rbf	-2.6207499612127796	-2.580705865283583	-5.304307149810195	-3.1597865716583926	-3.0674684646142847	-3.3466036025158465	1.0058710712421366	60
50	5	0.10130758296591237	18	0.12460814342245716	0.036123649197399736	0.049577372167979424	rbf	-2.423894018915124	-2.4110296323953455	-5.334480517553045	-2.938762341477579	-2.8925660246439393	-3.2001465069970068	1.0902827588070412	49
51	12	0.32836755200179	7	0.6269091115416348	2.177282974880255	2.214582845744781	poly	-2.370269425798996	-2.322647794071904	-5.287839654820691	-2.8295978629968164	-2.86032440881666	-3.1341358293010133	1.0998328008097917	34
52	14	0.521959054087306	5	0.9372255337076547	0.1047643369754186	1.4600477645439967	rbf	-2.4503365453676005	-2.4273525011004558	-5.290677985733521	-2.9329219903840196	-2.813588377307447	-3.1829754799786087	1.0722974705519368	45
53	11	0.46194551566052056	18	0.12890099396076743	0.03896930461494585	0.25817724668722924	rbf	-2.4508445079011825	-2.4111419789236033	-5.351753657032908	-2.9454093454956585	-2.906130449411109	-3.2130559877528926	1.092144509609981	50
54	17	0.23511583445392054	15	2.3360441406204457	0.0028398975840475786	0.1682795801476952	rbf	-2.500639671177025	-2.4584556623529443	-5.310637331748048	-2.9896917388716417	-2.928892910113707	-3.237663462852673	1.0587179753939655	56
55	3	0.11270855844205549	12	1.3262838073794396	0.3858762362592172	0.7545266276932825	rbf	-2.5573526422516224	-2.4775917741613918	-5.295829415698068	-3.0606479369288624	-2.9460991955249183	-3.2675041929129724	1.038120488823593	59
56	20	0.28102273619802826	7	2.064680092313432	0.9182065469928999	0.00035451929964849224	poly	-2.500303157820428	-2.572734879781474	-5.292920134684864	-3.0236803594942048	-2.876092864822792	-3.2531462793207524	1.0378086244570082	58
57	3	0.561358249167479	3	1.2373052560063158	0.013615089255167393	0.5049328828870728	rbf	-2.4678151749303354	-2.4135565263692547	-5.303043092868916	-2.9498248665163302	-2.858184088033379	-3.1984847497436433	1.0730137409104128	48
58	19	0.32549700994546593	1	1.664306880674488	0.058429712881756524	0.0002026709000494827	rbf	-2.2582331971488503	-2.4048505104222024	-5.271483827230955	-2.7019410761116793	-2.5669622443155786	-3.0406941710458533	1.125356870001746	12
59	5	0.26434722624352464	14	0.9868648116204308	0.004398484445996326	0.4679542412783794	poly	-2.2541945042810108	-2.4364845765710745	-5.316064446453059	-2.7477275164633963	-2.7403581218505284	-3.0989658331238137	1.1242788017409295	27
